Product Name,File Path,Config file name,Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Platform,\website\App_Config\Include,ScalabilitySettings.config.example,example,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Compatibility.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.ExcludeRobots.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.FieldTypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Model.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.MongoDb.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Oracle.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Outcome.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.ProcessingPools.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.Services.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Services.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Reporting.config,config,,Disable,Enable,Disable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Aggregation.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Database.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Database.ScaledCM.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Outcome.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.RobotDetection.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.AntiCsrf.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.Buckets.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.Buckets.WarmupQueries.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Analytics.config,config,Base,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.DefaultConfigurations.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.DefaultIndexConfiguration.config,config,Lucene is used,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.DefaultIndexConfiguration.Xdb.config,config,Lucene is used,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Index.Analytics.config,config,Lucene is used,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Index.Core.config,config,Lucene is used,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Search,\website\App_Config\Include,Sitecore.ContentSearch.Lucene.Index.Master.config,config,Lucene is used,Disable,Enable,Enable,Enable,Enable,n/a
